Codigo,Nombre,Rubro,Subrubro
7790380034162,Mani Con Chocolate Torroni 80G,1,
7790380019626,Granola 5 Semillas Flow 320G,1,
7790380019619,Almohaditas De Chocolate Flow 180G,1,
7790380019602,Almohaditas De Frutilla Flow 180G,1,
7790380019541,Granola Con Pasas Flow 320G,1,
7790380019510,Cereal Bolitas De Chocolates Georgalos,1,
7790380019503,Cereal Flynn Paff Anillos Frutales 200G,1,
7790380014928,Flow Cereal Con Frutas Manzana Ciruela Pera Durazno,1,
7790070936516,Cafe Arlistan 50G,1,
7790070936493,Cafe Arlistan 100G,1,
7613287587138,Leche Svelty Nestle 400G,1,
7613287867841,Leche Nido Nestle 400G,1,
7790150079898,Café Saquito La Virginia x 5g,1,
7891000304204,Cafe Nescafe Gold Suave 250G,1,
7790550000300,Mate Cocido Yervita 25Saq,1,
7794000005747,Caldo Knorr De Carne 12 Cubos,1,
7794000005723,Caldo Knorr De Verduras 12 Cubos,1,
7794000003729,Salsa Lista Knorr Tipo Bolognesa 340G,1,
7791672014428,Galletas Pepas Fantoche 350G,1,
7794000005587,Caldo Wilde De Gallina X2U,1,
7792900009025,Pimienta Blanca Dos Anclas 25G,1,
7798262020029,Durazno En Trozos Zummun,1,
7792280000582,Mate Cocido Cachamate 25Saq,1,
7792280000551,Te Negro Cachamai 20Saq,1,
7793360106002,Jugo Bc Multifruta 1Lt,1,
7793360106033,Jugo Bc Naranja 1Lt,1,
7792900990859,Ajo Deshidratado Dos Anclas 20G,1,
7790070416513,Yogubar De Arroz 20G,1,
7790070413178,Chocobar De Arroz 20G,1,
7790070418289,Chocoarroz Blanco Con Ddl 22G,1,
7791620187204,Mayonesa Danica 95G,1,
7790040704909,Serranas Sandwich X3,1,
7790040139404,Galletas Chocolinas 262G,1,
7790580134716,Fideos La Campagnola Foratti 500G,1,
7794820901991,Dulce De Leche Milkaut Clasico 405G,1,
7790199604174,Aceite De Oliva Extra Morixe 500Ml,1,
7798164192923,Bizcochos Dulces Mimago 200G,1,
7798164192916,Bizcochos Salados Mimago 200G,1,
7791568000306,Grisines Firenze Blancos 200G,1,
7791568000313,Grisines Firenze Salvado 200G,1,
7790150100783,Cafe Instantaneo Clasico La Virginia 100G,1,
7790150498002,Cocina En Bolsa Alicante Albahaca Y Ajo,1,
7790150497906,Cocina En Bolsa Alicante Pimenton,1,
7790150498057,Cocina En Bolsa Alicante Mostaza Y Miel,1,
7790150497852,Cocina En Bolsa Alicante Finas Hierbas,1,
7797470004838,Atun Desmenuzado El Dique Aceite/Agua,1,
7790645001199,Pimientos Morrones Caracas 185G,1,
7793670000052,Yerba Verdeflor Hierbas Serranas 500G,1,
7793704000911,Yerba Playadito 500G,1,
7790411001743,Yerba Rosamonte Comun Comun 100G,1,
7798141971084,Fideos Providencia Tagliattele,1,
7791672002029,Budin Fantoche Marmolado 220Gr,1,
7791672002050,Budin Fantoche Con Pepas De Chocolate 220Gr,1,
7790040127197,Budin Arcor Marmolado 215Gr,1,
7795293601364,Budin Don Yeyo Naranja 240Gr,1,
7795293601340,Budin Don Yeyo Vainilla 240Gr,1,
7795293601357,Budin Don Yeyo Vainilla Con Chips 240Gr,1,
7795293209607,Pan Dulce Don Yeyo Con Frutas 500Gr,1,
7795293209225,Pan Dulce Don Yeyo Con Chips,1,
7791672001558,Pan Dulce Fantoche Marmolado 400Gr,1,
7791672001985,Pan Dulce Fantoche Sin Fruta 400Gr,1,
7791672014435,Pan Dulce Fantoche Con Fruta 400G,1,
7790040127272,Pan Dulce Arcor Con Frutas 400G,1,
7793913001822,Leche Entera Tregar 1Lt,1,
7790742222909,Queso Rallado La Serenisima 35G,1,
7792882000201,Queso Rallado La Quesera 40G,1,
7797599232037,Avena Tradicional Nutri Foods 300Gr,1,
7797599232020,Avena Instantanea Nutri Foods 300Gr,1,
7791885001208,Atun Desmenuzado Cumana X170Gr,1,
7790036007816,Pure De Tomate La Huerta 1030G,1,
7790040133488,Sonrisa Frambuesa 108G,1,
7792350066852,Zanahoria En Cubos Inalpa 350G,1,
7792000000021,Yerbacid Hierbas Serranas 500Gr,1,
7798172360031,Yerbacid Con Peperina 500Gr,1,
7798172360017,Yerbacid Con Menta 500Gr,1,
7790387013146,Yerba Taragui Bcp Flex 500G,1,
7790387013504,Yerba Taragui 500G.,1,
7790070508522,Yerba Salus 500G,1,
7790411001521,Yerba Rosamonte Suave X 500Grs,1,
7790411000517,Yerba Rosamonte Suave 250G,1,
7790411000029,Yerba Rosamonte Especial 500G,1,
7790411000067,Yerba Rosamonte Clasica 250Gr,1,
7790070507273,Yerba Nobleza Gaucha 500Gr,1,
7791680101400,Yerba La Hoja 250G,1,
7795194100072,Yerba Hierbital X500Grs.,1,
7790070509024,Yerba Chamigo Hierbas Serranas,1,
7790070509048,Yerba Cruz De Malta Sin Tacc 500G,1,
7790070509062,Yerba Cruz De Malta Boldo Y Menta 500G,1,
7790070507389,Yerba Cruz De Malta Estacionamiento Natural 500G.,1,
7790070509123,Yerba Chamigo 500G,1,
7790070318886,Vitina  250Gr,1,
7798138551602,Vinagre Vino X 1L Molto,1,
7798138551572,Vinagre Manzana X 500Ml Molto,1,
7798138551589,Vinagre Manzana X 1Lt Molto,1,
7793551001031,Vinagre De Vino Marvavic 500Ml,1,
7790139101183,Vinagre De Manzana Favinco 500Ml.,1,
7793551001024,Vinagre De Alcohol Marvavic 500Ml,1,
7792900093246,Vinagre Alcohol Dos Anclas 1L,1,
7790077000326,Vainillas Pozo 80G,1,
7790628102684,Vainillas Pack Individual,1,
7798142880088,Totadas Carilo Dulces 150G.,1,
7791568000511,Tostadas Sin Sal Firenze 180G,1,
7790071090415,Tostadas Riera Sin Sal 200G,1,
7790071090217,Tostadas De Mesa Riera 200G.,1,
7790503000326,Tostadas De Arroz S/Sal Dos Hermanos 120G,1,
7790503000333,Tostadas De Arroz  Saladas 120G,1,
7790503000364,Tostadas De Arroz  Dulces 120G,1,
7798142880026,Tostadas Carilo Sin Sal 150G,1,
7798142880095,Tostadas Carilo Sin Azucar,1,
7791867000038,Tomate Triturado Sc 330Grs,1,
7792153201818,Tomate Triturado Los Polacos 950Grs,1,
7792153201528,Tomate Triturado Don Ernesto 480Gr,1,
7792153201535,Tomate Triturado,1,
7798096031154,Tomate Triturado Doña Pupa 500,1,
7794268000256,Te Tilo Reina Mora 25U.,1,
7790387800135,Te Taragui 25 Saquitos,1,
7796244000052,Te Nory 25 Saquitos,1,
7790480008223,Te Negro Green Hills 100G,1,
7790150250457,Te Maracuya La Virginia 20Saquitos,1,
7794268000270,Te Manzanilla Reina Mora 25U.,1,
7790150211816,Te La Virginia 25 Saquitos,1,
7790480000449,Te La Tranquera 50G,1,
7790480000487,Te Green Hills Verde 50U,1,
7790480089758,Te Green Hills Relax 20U,1,
7490480089788,Te Green Hills Relax,1,
7790480089673,Te Green Hills Negro Limon 20U,1,
7790150696842,Te Frutas Tropicales La Virginia 20Saquitos,1,
7790360720115,Swift Picadillo 90G,1,
7794000004238,Sopa Knorr Zanahoria X5U 63G.,1,
7794000004221,Sopa Knorr Tomate X5 63G.,1,
7794000004214,Sopa Knorr Espinaca X5U 63G.,1,
7794000005006,Savora Original 250G,1,
7794000005013,Savora 60G,1,
7790580134518,Salsa Tuco Arcor. 340G.,1,
7790580134495,Salsa Portuguesa Arcor. 340G.,1,
7790580133139,Salsa Pomarola Arcor 340G.,1,
7790580133153,Salsa Pizza Arcor 340G.,1,
7790580133757,Salsa Italiana Arcor 340G,1,
7791866000480,Salsa Golf Natura 250Gr,1,
7791620187310,Salsa Golf Danica 95G,1,
7791669000472,Salsa Blanca Indias 50G.,1,
7791620187341,Salsa Barbacoa Danica 220Gr,1,
7792900092683,Sal Parrillera Dos Anclas 500Gr,1,
7792900092676,Sal Gruesa Dos Anclas 500G,1,
7791004000822,Sal Gruesa Celusal 500Gr,1,
7792900092706,Sal Fina Dos Estrellas X 500Grs,1,
7792900000428,Sal Fina Dos Anclas X 500Grs,1,
7790150433423,Sabor Polvo Verduras Alicante 7.5G,1,
7790150433621,Sabor Polvo Verdura Bajo En Sodio Alicante 6G,1,
7790150438275,Sabor Polvo Champi. Hongos Alicante 7.5G,1,
7790150431436,Sabor Polvo Carne Alicante 7.5G,1,
7790150434857,Sabor Polvo Alicante Panceta,1,
7790150434420,Sabor Polvo Alicante Finas Hierbas,1,
7790150437773,Sabor Polvo Alicante Albahaca Y Ajo,1,
7790150439357,Sabor Polvo 4 Quesos Alicante 7.5G,1,
7622210702258,Royal Torta Casera Chocolate 500Gr,1,
7622300872212,Royal Crema Chantilly X 50Grs,1,
7790580134341,Relleno Aguila Sabor Avellana 290G,1,
7791058000199,Queso Rallado Manfrey 40Gr,1,
7790036567440,Pure De Tomate La Huerta X 530Grs,1,
7790036973036,Pure De Tomate La Huerta X 210Gr.,1,
7793360000485,Pure De Tomate La Campagnola 520G.,1,
7790580138844,Pure De Tomate Arcor 530G,1,
8445290060990,Pure De Papas Finas Hierbas Maggi 100G,1,
7792180006752,Premezcla Ñoquis De Papa X400Gr.,1,
7622300871888,Postre Vainilla Royal 75G,1,
7622300871857,Postre Frutilla Royal 75G,1,
7622300871949,Postre Dulce De Leche Royal 75G,1,
7790070412485,Postre Chocolate Exquisita,1,
7622300989934,Posre De Chocolate Royal 65G,1,
7792350004595,Porotos En Lata Inalpa 205Gr,1,
7798048721195,Porotos Elio X 350Grs,1,
7798094010243,Porotos Alubia Seleccion,1,
7622300148119,Polvo Para Hornear Royal 100G,1,
7794268004889,Polvo Para Hornear Reina Mora,1,
7796215000036,Polluelo,1,
7790580660000,Polenta Presto Pronta 500G.,1,
7790580126322,Polenta Panceta Y Queso Presto Pronta 250G,1,
7790580126315,Polenta Espinaca Presto Pronta 250G,1,
7790360720122,Picadillo De Carne La Blanca 90Gr,1,
7790360720382,Pate Swift 90Gr,1,
7798121880122,Palmitos En Trozos San Remo 400G,1,
7898024395232,Nutella  140Gr,1,
7613287519276,Nestum Trigo Y Miel 225 G,1,
7613287519313,Nestum Multicereal 220 G,1,
7613287519290,Nestum Banana 220 G,1,
7613287519177,Nestum Arroz Sin Azucar 225 G,1,
7613287850355,Nesquik 180G,1,
7613287953155,Nescafe Dolca Suave 100 Gr,1,
7613287953018,Nescafe Dolca Frasco Suave 50Gr,1,
8445290256379,Nescafe Dolca Capuccino 225G,1,
8445290256355,Nescafe Dolca Cappuccino 125G.,1,
