1,alimentos de soja
2,hamburguesas
3,helados
4,pizzas
5,rebozados
6,vegetales
7,Aceites
8,Aceitunas y Encurtidos
9,Aderezos y Especias
10,Arroces, Legumbres y Semillas
11,Conservas
12,Desayuno y Merienda
13,Frutas secas
14,Golosinas y Chocolates
15,Harinas y Pastas 
16,Panificados
17,Para Preparar
18,Snacks
19,Sopas, caldos, pure de tomate
20,Suplemento Nutricional
21,Carnes
22,Empanadas y Tartas
23,Aperitivos
24,Bebibas blancas, Licores y Whisky
25,Cervezas
26,Espumantes
27,Sidras y otros
28,vinos
29,a base de hierbas
30,aguas
31,aguas saborizadas
32,Cervezas y sidras sin alcohol
33,Isotónicas y energizantes
34,Jugos
35,Sodas
36,Alimentación de bebe
37,Higiene y accesorios bebe
38,Carniceria / Polleria
39,Comidas elaboradas
40,fiambreria
41,frutas frescas
42,productos avicolas
43,levaduras,grasas y margarinas 
44,lácteos
45,pastas y tapas
46,pescaderia
47,verduras
48,accesorios de limpieza
49,desodorantes y desinfectantes de ambiente
50,Insecticidas
51,Lavandinas
52,Limpieza de la cocina 
53,Limpieza de la ropa
54,limpieza de pisos y superficies
55,limpieza del baño
56,limpieza del calzado
57,papeles
58,mascotas
59,cuidado capilar
60,cuidado corporal
61,cuidado facial
62,cuidado oral
63,Productos farmaceuticos
64,productos para adultos marores 
65,lamparas
66,pilas
67,gaseosas
68,accesorios de cocina 
69,vasos  
70,conservadoras y termos 
71,utensillos
72,pavas y moldes 
73,asaderas 
74,canastos y basureros
75,baldes, fuentones y pelelas 
76,linterna 
77,rollo de cocina y repasadores 
78,cortinado
79,bandejas, tupper, tablas y sarten 
80,velas 
81,cosmeticos 
82,dulces 
83,embutidos 
84,cuidado de ropa 
85,alpargatas 
