Nombre;Precio_Compra;Precio_Venta
Fideos Spaghetti Providencia 500Gr;1.0;340,00
Cafe Arlistan 100G;1.0;650,00
Leche Nido Nestle 400G;1.0;3.800,00
Caf� Saquito La Virginia x 5g;1.0;1.240,00
Caldo Knorr De Verduras 12 Cubos;1.0;485,00
Salsa Lista Knorr Tipo Bolognesa 340G;1.0;300,00
Galletas Pepas Fantoche 350G;1.0;245,00
Caldo Wilde De Gallina X2U;1.0;245,00
Mate Cocido Cachamate 25Saq;1.0;360,00
Jugo Bc Multifruta 1Lt;1.0;120,00
Jugo Bc Naranja 1Lt;1.0;120,00
Chocobar De Arroz 20G;1.0;250,00
Chocoarroz Blanco Con Ddl 22G;1.0;250,00
Mayonesa Danica 95G;1.0;172,00
Yerba Verdeflor Hierbas Serranas 500G;1.0;860,00
Queso Rallado La Quesera 40G;1.0;230,00
Yerbacid Hierbas Serranas 500Gr;1.0;610,00
Yerbacid Con Peperina 500Gr;1.0;610,00
Yerbacid Con Menta 500Gr;1.0;610,00
Yerba Taragui Bcp Flex 500G;1.0;1.130,00
Yerba Taragui 500G.;1.0;1.250,00
Yerba Rosamonte Especial 500G;1.0;850,00
Yerba Chamigo Hierbas Serranas;1.0;600,00
Yerba Chamigo 500G;1.0;600,00
Te Taragui 25 Saquitos;1.0;300,00
Te La Virginia 25 Saquitos;1.0;300,00
Savora Original 250G;1.0;325,00
Salsa Pizza Arcor 340G.;1.0;300,00
Sal Gruesa Dos Anclas 500G;1.0;250,00
Sal Fina Dos Anclas X 500Grs;1.0;320,00
Sabor Polvo Alicante Panceta;1.0;100,00
Queso Rallado Manfrey 40Gr;1.0;350,00
Polenta Presto Pronta 500G.;1.0;380,00
Picadillo De Carne La Blanca 90Gr;1.0;180,00
Nescafe Dolca 170G;1.0;1.750,00
Nescafe Dolca 100G;1.0;1.452,00
Nescafe Dolca  Suave 170G;1.0;1.750,00
Mayonesa Natura 250Cn;1.0;450,00
Mayonesa Natura 125Cc;1.0;225,00
Mayonesa Hellmanns Clasica 950G;1.0;1.240,00
Mayonesa Hellmanns 475G;1.0;740,00
Mayonesa Hellmanns 125Cn;1.0;200,00
Mayonesa Danica Fiesta 250Cm;1.0;250,00
Mayonesa Danica Fiesta 100Gr;1.0;172,00
Leche Condensada Nestle 395G;1.0;1.100,00
Ketchup 220Gr Danica;1.0;384,00
Jugo Tang Uva 18G.;1.0;120,00
Jugo Tang Pomelo Rosado 18Gr;1.0;120,00
Jugo Tang Pera 18G.;1.0;120,00
Jugo Tang Naranja Maracuya Frutilla 18Gr;1.0;120,00
Jugo Tang Naranja Mango 18Gr;1.0;120,00
Jugo Tang Naranja Durazno 18Gr;1.0;120,00
Jugo Tang Naranja Dulce 18G;1.0;120,00
Jugo Tang Naranja Banana 18G;1.0;120,00
Jugo Tang Naranja 18Gr;1.0;120,00
Jugo Tang Multifruta 18Gr;1.0;120,00
Jugo Tang Manzana 18Gr;1.0;120,00
Jugo Tang Limonada Dulce;1.0;120,00
Jugo Tang Frutilla 18Gr;1.0;120,00
Jugo Tang Durazno 18Gr;1.0;120,00
Jugo Tang Anana 18Gr;1.0;120,00
Jugo Rinde 2 Uva 15Gr;1.0;100,00
Jugo Rinde 2 Sandia;1.0;100,00
Jugo Rinde 2 Pera 15Gr;1.0;100,00
Jugo Rinde 2 Naranja Durazno 15Gr;1.0;100,00
